"Year","Country","Code","Name","Maternity unit types","Births per year","Highest neonatal unit designation","Labour induction","Birthweight <10th centile","Birthweight <10th centile born at/after 40 weeks","Spontaneous vaginal birth","Instrumental birth","Caesarean birth","Planned/elective caesarean birth","Unplanned/emergency caesarean birth","Birth without intervention definition 1","Birth without intervention definition 2","VBAC for 2nd birth","VBAC 2nd birth among attempted	","Episiotomy","3rd/4th degree tears","Haemorrhage 1500ml or more","Haemorrhage 500ml or more","Unplanned maternal readmission","Smoking cessation in pregnancy","Smoking at time of birth/late pregnancy","Skin to skin contact","Breast milk at first feed","Breast milk at discharge home","Apgar score <7 at 5 minutes","Neonatal unit admission (term)","Neonatal unit admission (late preterm)","Mechanically ventilated babies","Neonatal encephelopathy"
"16/17","","*MEAN*"," Mean of all trusts/boards included in analysis","","","","29.6%","7.0%","52.6%","61.6%","12.5%","25.8%","11.3%","14.5%","36.9%","40.7%","24.5%","58.5%","21.9%","3.5%","2.9%","33.3%","3.3%","21.0%","11.1%","80.7%","73.3%","70.6%","1.2%","5.8%","41.9%","0.58%","0.17%"
"16/17","Wales","7A1","Betsi Cadwaladr University Health Board","OU(s), AMU(s) and FMU(s)","4000-5999","SCBU","37.1%","6.1%","57.6%","65.2%","11.9%","23.2%","9.1%","15.3%","","","29.5%","58.5%","21.5%","","5.0%","37.5%","3.3%","17.4%","20.1%","","","","1.3%","","","",""
"16/17","Wales","7A2","Hywel Dda Health Board","OU(s), AMU(s) and FMU(s)","2500-3999","SCBU","26.1%","6.5%","54.9%","64.6%","9.7%","25.6%","9.9%","15.9%","","47.9%","15.3%","39.0%","17.6%","2.4%","2.5%","30.5%","4.6%","25.5%","15.6%","","","","1.0%","","","",""
"16/17","Wales","7A3","Abertawe Bro Morgannwg University Health Board","OU(s), AMU(s) and FMU(s)","4000-5999","NICU","27.5%","6.1%","52.7%","63.8%","9.3%","26.8%","12.7%","14.0%","","","27.3%","67.0%","19.5%","5.0%","3.9%","34.7%","3.9%","4.9%","14.4%","","","","1.3%","","","",""
"16/17","Wales","7A4","Cardiff and Vale University Health Board","OU(s) and AMU(s)","4000-5999","NICU","27.9%","7.1%","60.5%","63.8%","15.0%","20.8%","11.0%","9.8%","","","34.2%","73.0%","25.4%","2.6%","2.4%","25.6%","3.6%","21.1%","13.9%","","","","0.7%","","","",""
"16/17","Wales","7A5","Cwm Taf University Health Board","OU(s) and AMU(s)","2500-3999","LNU","35.7%","6.0%","67.7%","63.3%","9.7%","26.5%","12.7%","13.3%","","35.1%","19.5%","45.5%","21.4%","","3.4%","27.9%","4.6%","25.2%","18.4%","","","","0.7%","","","",""
"16/17","Wales","7A6","Aneurin Bevan Health Board","OU(s), AMU(s) and FMU(s)","4000-5999","NICU","26.1%","6.6%","65.6%","66.0%","10.7%","23.2%","10.9%","12.5%","","","30.4%","71.4%","18.9%","3.4%","3.4%","31.5%","3.6%","","","","","","1.1%","","","",""
"16/17","Wales","7A7","Powys Teaching Health Board","FMU(s) only","Under 2500","No neonatal units","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","13.4%","","","","N/A","N/A","N/A","N/A","N/A"
"16/17","England","R1F","Isle of Wight NHS Trust","OU(s) only","Under 2500","LNU","26.1%","9.0%","57.2%","61.1%","11.3%","27.8%","12.3%","15.6%","35.1%","38.1%","22.7%","47.4%","19.0%","2.9%","2.8%","22.5%","4.1%","","","77.8%","70.9%","71.7%","0.8%","","","",""
"16/17","England","R1H","Barts Health NHS Trust","OU(s), AMU(s) and FMU(s)","6000 or more","NICU","26.5%","6.4%","56.9%","68.0%","11.7%","21.2%","7.5%","14.1%","41.9%","48.7%","19.6%","40.1%","20.4%","2.8%","2.9%","32.8%","2.7%","17.4%","4.9%","","","97.6%","","","","",""
"16/17","England","R1K","London North West University Healthcare NHS Trust","OU(s) and AMU(s)","4000-5999","LNU","22.3%","6.6%","56.1%","61.2%","11.0%","27.9%","10.6%","17.0%","37.8%","39.9%","22.9%","59.4%","26.3%","3.3%","2.0%","35.9%","3.1%","32.3%","3.9%","89.8%","92.5%","86.6%","0.7%","","","",""
